communicate round 147  accuracy: 0.9804999232292175
communicate round 148  accuracy: 0.9793999791145325
communicate round 149  accuracy: 0.9813000559806824
communicate round 150  accuracy: 0.9805001020431519
communicate round 151  accuracy: 0.9828001260757446
communicate round 152  accuracy: 0.9792998433113098
communicate round 153  accuracy: 0.9701998829841614
communicate round 154  accuracy: 0.977899968624115
communicate round 155  accuracy: 0.9808000922203064
communicate round 156  accuracy: 0.9792002439498901
communicate round 157  accuracy: 0.9772000908851624
communicate round 158  accuracy: 0.9813000559806824
communicate round 159  accuracy: 0.9816001057624817
communicate round 160  accuracy: 0.9833998680114746
communicate round 161  accuracy: 0.9772999882698059
communicate round 162  accuracy: 0.9751002192497253
communicate round 163  accuracy: 0.9732000231742859
communicate round 164  accuracy: 0.9766998887062073
communicate round 165  accuracy: 0.9790999889373779
communicate round 166  accuracy: 0.9803000688552856
communicate round 167  accuracy: 0.9767001271247864
communicate round 168  accuracy: 0.9818001389503479
communicate round 169  accuracy: 0.9792000651359558
communicate round 170  accuracy: 0.982900083065033
communicate round 171  accuracy: 0.9811000823974609
communicate round 172  accuracy: 0.9792998433113098
communicate round 173  accuracy: 0.9797999858856201
communicate round 174  accuracy: 0.9810999631881714
communicate round 175  accuracy: 0.9836999773979187
communicate round 176  accuracy: 0.9807000756263733
communicate round 177  accuracy: 0.9813997149467468
communicate round 178  accuracy: 0.9820001125335693
communicate round 179  accuracy: 0.9798999428749084
communicate round 180  accuracy: 0.9819000959396362
communicate round 181  accuracy: 0.9781999588012695
communicate round 182  accuracy: 0.9758001565933228
communicate round 183  accuracy: 0.9787001609802246
communicate round 184  accuracy: 0.9791999459266663
communicate round 185  accuracy: 0.9817999005317688
communicate round 186  accuracy: 0.9782999157905579
communicate round 187  accuracy: 0.9772999286651611
communicate round 188  accuracy: 0.9823999404907227
communicate round 189  accuracy: 0.9803999066352844
communicate round 190  accuracy: 0.983799934387207
communicate round 191  accuracy: 0.982400119304657
communicate round 192  accuracy: 0.9802999496459961
communicate round 193  accuracy: 0.9726998805999756
communicate round 194  accuracy: 0.9795999526977539
communicate round 195  accuracy: 0.9795998930931091
communicate round 196  accuracy: 0.9765000939369202
communicate round 197  accuracy: 0.9836999773979187
communicate round 198  accuracy: 0.9829999804496765
communicate round 199  accuracy: 0.9825999736785889
communicate round 200  accuracy: 0.9825000762939453
