communicate round 1  accuracy: 0.2205999195575714
communicate round 2  accuracy: 0.6979000568389893
communicate round 3  accuracy: 0.8015998601913452
communicate round 4  accuracy: 0.8347000479698181
communicate round 5  accuracy: 0.8561000823974609
communicate round 6  accuracy: 0.8684000372886658
communicate round 7  accuracy: 0.8854999542236328
communicate round 8  accuracy: 0.8911002278327942
communicate round 9  accuracy: 0.8978000283241272
communicate round 10  accuracy: 0.9041998982429504
communicate round 11  accuracy: 0.9093999266624451
communicate round 12  accuracy: 0.9134998917579651
communicate round 13  accuracy: 0.9153999090194702
communicate round 14  accuracy: 0.9183999300003052
communicate round 15  accuracy: 0.9209999442100525
communicate round 16  accuracy: 0.923599898815155
communicate round 17  accuracy: 0.9263997673988342
communicate round 18  accuracy: 0.9296998381614685
communicate round 19  accuracy: 0.9315000772476196
communicate round 20  accuracy: 0.9332998991012573
communicate round 21  accuracy: 0.9363000988960266
communicate round 22  accuracy: 0.9380001425743103
communicate round 23  accuracy: 0.9390002489089966
communicate round 24  accuracy: 0.9406003355979919
communicate round 25  accuracy: 0.9419002532958984
communicate round 26  accuracy: 0.9429001212120056
communicate round 27  accuracy: 0.9442002177238464
communicate round 28  accuracy: 0.9461002349853516
communicate round 29  accuracy: 0.9471001029014587
communicate round 30  accuracy: 0.9474000930786133
communicate round 31  accuracy: 0.949700117111206
communicate round 32  accuracy: 0.9503999948501587
communicate round 33  accuracy: 0.9514000415802002
communicate round 34  accuracy: 0.9536000490188599
communicate round 35  accuracy: 0.9540001749992371
communicate round 36  accuracy: 0.9544001817703247
communicate round 37  accuracy: 0.9554002285003662
communicate round 38  accuracy: 0.9569002389907837
communicate round 39  accuracy: 0.957200288772583
communicate round 40  accuracy: 0.9582002758979797
communicate round 41  accuracy: 0.9594000577926636
communicate round 42  accuracy: 0.9595001935958862
communicate round 43  accuracy: 0.9601001739501953
communicate round 44  accuracy: 0.960900068283081
communicate round 45  accuracy: 0.9615001678466797
communicate round 46  accuracy: 0.9617001414299011
communicate round 47  accuracy: 0.9629001617431641
communicate round 48  accuracy: 0.9632001519203186
communicate round 49  accuracy: 0.9642001986503601
communicate round 50  accuracy: 0.9644001722335815
communicate round 51  accuracy: 0.9652001857757568
communicate round 52  accuracy: 0.9655002355575562
communicate round 53  accuracy: 0.9660999774932861
communicate round 54  accuracy: 0.9665000438690186
communicate round 55  accuracy: 0.9674000144004822
communicate round 56  accuracy: 0.9674999713897705
communicate round 57  accuracy: 0.9683998823165894
communicate round 58  accuracy: 0.9687997698783875
communicate round 59  accuracy: 0.9689998626708984
communicate round 60  accuracy: 0.9690998792648315
communicate round 61  accuracy: 0.9695999026298523
communicate round 62  accuracy: 0.9708998799324036
communicate round 63  accuracy: 0.9709999561309814
communicate round 64  accuracy: 0.9713999032974243
communicate round 65  accuracy: 0.9715998768806458
communicate round 66  accuracy: 0.971799910068512
communicate round 67  accuracy: 0.972399890422821
communicate round 68  accuracy: 0.972399890422821
communicate round 69  accuracy: 0.9723999500274658
communicate round 70  accuracy: 0.973599910736084
communicate round 71  accuracy: 0.9733999371528625
communicate round 72  accuracy: 0.9738999009132385
communicate round 73  accuracy: 0.9739000201225281
communicate round 74  accuracy: 0.9746999144554138
communicate round 75  accuracy: 0.9749999046325684
communicate round 76  accuracy: 0.9755999445915222
communicate round 77  accuracy: 0.9754999876022339
communicate round 78  accuracy: 0.9757000803947449
communicate round 79  accuracy: 0.9759001135826111
communicate round 80  accuracy: 0.9759001135826111
communicate round 81  accuracy: 0.9763999581336975
communicate round 82  accuracy: 0.9768000841140747
communicate round 83  accuracy: 0.9769001603126526
communicate round 84  accuracy: 0.9772000908851624
communicate round 85  accuracy: 0.9771000742912292
communicate round 86  accuracy: 0.97760009765625
communicate round 87  accuracy: 0.9775999784469604
communicate round 88  accuracy: 0.9779999852180481
communicate round 89  accuracy: 0.9783000946044922
communicate round 90  accuracy: 0.9780001044273376
communicate round 91  accuracy: 0.9781001210212708
communicate round 92  accuracy: 0.9786000847816467
communicate round 93  accuracy: 0.9783000946044922
communicate round 94  accuracy: 0.9789999723434448
communicate round 95  accuracy: 0.9789000749588013
communicate round 96  accuracy: 0.9792999625205994
communicate round 97  accuracy: 0.9794999957084656
communicate round 98  accuracy: 0.979699969291687
communicate round 99  accuracy: 0.9797999858856201
communicate round 100  accuracy: 0.9800999760627747
communicate round 101  accuracy: 0.9801000952720642
