communicate round 1  accuracy: 0.11349935829639435
communicate round 2  accuracy: 0.09739947319030762
communicate round 3  accuracy: 0.17949999868869781
communicate round 4  accuracy: 0.3162996470928192
communicate round 5  accuracy: 0.46639981865882874
communicate round 6  accuracy: 0.5815004706382751
communicate round 7  accuracy: 0.5210004448890686
communicate round 8  accuracy: 0.686499834060669
communicate round 9  accuracy: 0.6303002834320068
communicate round 10  accuracy: 0.6505002379417419
communicate round 11  accuracy: 0.7100006341934204
communicate round 12  accuracy: 0.6238002777099609
communicate round 13  accuracy: 0.6925001740455627
communicate round 14  accuracy: 0.7359002828598022
communicate round 15  accuracy: 0.6434006094932556
communicate round 16  accuracy: 0.6751002073287964
communicate round 17  accuracy: 0.7414998412132263
communicate round 18  accuracy: 0.549100935459137
communicate round 19  accuracy: 0.7487999796867371
communicate round 20  accuracy: 0.5795006155967712
communicate round 21  accuracy: 0.7117001414299011
communicate round 22  accuracy: 0.6380001306533813
communicate round 23  accuracy: 0.7507997751235962
communicate round 24  accuracy: 0.6821003556251526
communicate round 25  accuracy: 0.6741006374359131
communicate round 26  accuracy: 0.7214999198913574
communicate round 27  accuracy: 0.7726004719734192
communicate round 28  accuracy: 0.82140052318573
communicate round 29  accuracy: 0.8055010437965393
communicate round 30  accuracy: 0.6794005036354065
communicate round 31  accuracy: 0.5751000046730042
communicate round 32  accuracy: 0.715300440788269
communicate round 33  accuracy: 0.7347005009651184
communicate round 34  accuracy: 0.767700731754303
communicate round 35  accuracy: 0.7225006222724915
communicate round 36  accuracy: 0.7103005051612854
communicate round 37  accuracy: 0.7866008877754211
communicate round 38  accuracy: 0.7542002201080322
communicate round 39  accuracy: 0.7211999297142029
communicate round 40  accuracy: 0.7149001955986023
communicate round 41  accuracy: 0.7752005457878113
communicate round 42  accuracy: 0.8088011145591736
communicate round 43  accuracy: 0.6487005352973938
communicate round 44  accuracy: 0.7692005038261414
communicate round 45  accuracy: 0.7927004098892212
communicate round 46  accuracy: 0.779900312423706
communicate round 47  accuracy: 0.6912998557090759
communicate round 48  accuracy: 0.7441007494926453
communicate round 49  accuracy: 0.6847996115684509
communicate round 50  accuracy: 0.6574005484580994
communicate round 51  accuracy: 0.6997002363204956
communicate round 52  accuracy: 0.78340083360672
communicate round 53  accuracy: 0.722800076007843
communicate round 54  accuracy: 0.6615999341011047
communicate round 55  accuracy: 0.7868006825447083
communicate round 56  accuracy: 0.6922999024391174
communicate round 57  accuracy: 0.7165000438690186
communicate round 58  accuracy: 0.7327001690864563
communicate round 59  accuracy: 0.696600079536438
communicate round 60  accuracy: 0.8130005598068237
communicate round 61  accuracy: 0.7335008382797241
communicate round 62  accuracy: 0.7103995680809021
communicate round 63  accuracy: 0.7888003587722778
communicate round 64  accuracy: 0.7392000555992126
communicate round 65  accuracy: 0.710899829864502
communicate round 66  accuracy: 0.7809009552001953
communicate round 67  accuracy: 0.800200343132019
communicate round 68  accuracy: 0.8284006118774414
communicate round 69  accuracy: 0.6510002017021179
communicate round 70  accuracy: 0.7023003101348877
communicate round 71  accuracy: 0.6869001388549805
communicate round 72  accuracy: 0.5804000496864319
communicate round 73  accuracy: 0.7610000967979431
communicate round 74  accuracy: 0.7742002010345459
communicate round 75  accuracy: 0.6627002954483032
communicate round 76  accuracy: 0.8033007979393005
communicate round 77  accuracy: 0.6881000995635986
communicate round 78  accuracy: 0.6676000952720642
communicate round 79  accuracy: 0.7950005531311035
communicate round 80  accuracy: 0.7712004780769348
communicate round 81  accuracy: 0.795100212097168
communicate round 82  accuracy: 0.7966007590293884
communicate round 83  accuracy: 0.8195002675056458
communicate round 84  accuracy: 0.7618995904922485
communicate round 85  accuracy: 0.7770008444786072
communicate round 86  accuracy: 0.817401647567749
communicate round 87  accuracy: 0.711000382900238
communicate round 88  accuracy: 0.6617000102996826
communicate round 89  accuracy: 0.8007005453109741
communicate round 90  accuracy: 0.7710011601448059
communicate round 91  accuracy: 0.7870005965232849
communicate round 92  accuracy: 0.6321001648902893
communicate round 93  accuracy: 0.8185017704963684
communicate round 94  accuracy: 0.8339014053344727
communicate round 95  accuracy: 0.6794006824493408
communicate round 96  accuracy: 0.789000391960144
communicate round 97  accuracy: 0.8613011240959167
communicate round 98  accuracy: 0.7580007910728455
communicate round 99  accuracy: 0.8676014542579651
communicate round 100  accuracy: 0.6925997734069824
communicate round 101  accuracy: 0.6990005373954773
communicate round 102  accuracy: 0.7732002139091492
communicate round 103  accuracy: 0.8364010453224182
communicate round 104  accuracy: 0.6458005309104919
communicate round 105  accuracy: 0.6555005311965942
communicate round 106  accuracy: 0.7498001456260681
communicate round 107  accuracy: 0.7901001572608948
communicate round 108  accuracy: 0.7411004900932312
communicate round 109  accuracy: 0.7470999360084534
communicate round 110  accuracy: 0.6424997448921204
communicate round 111  accuracy: 0.6646004915237427
communicate round 112  accuracy: 0.7242997884750366
communicate round 113  accuracy: 0.7563000321388245
communicate round 114  accuracy: 0.7783003449440002
communicate round 115  accuracy: 0.821800708770752
communicate round 116  accuracy: 0.8098000288009644
communicate round 117  accuracy: 0.8578009009361267
communicate round 118  accuracy: 0.7188002467155457
communicate round 119  accuracy: 0.7379998564720154
communicate round 120  accuracy: 0.6389001607894897
communicate round 121  accuracy: 0.7333000302314758
communicate round 122  accuracy: 0.8091006875038147
communicate round 123  accuracy: 0.7784006595611572
communicate round 124  accuracy: 0.8335011005401611
communicate round 125  accuracy: 0.8029998540878296
communicate round 126  accuracy: 0.5825002789497375
communicate round 127  accuracy: 0.740600049495697
communicate round 128  accuracy: 0.8251007795333862
communicate round 129  accuracy: 0.7942003011703491
communicate round 130  accuracy: 0.7455003261566162
communicate round 131  accuracy: 0.7749001979827881
communicate round 132  accuracy: 0.7955000400543213
communicate round 133  accuracy: 0.8096000552177429
communicate round 134  accuracy: 0.6579000949859619
communicate round 135  accuracy: 0.6958000063896179
communicate round 136  accuracy: 0.6692005395889282
communicate round 137  accuracy: 0.6880005598068237
communicate round 138  accuracy: 0.6736009120941162
communicate round 139  accuracy: 0.6526005268096924
communicate round 140  accuracy: 0.6876007914543152
communicate round 141  accuracy: 0.7926003932952881
communicate round 142  accuracy: 0.792300820350647
communicate round 143  accuracy: 0.7949005961418152
communicate round 144  accuracy: 0.7263000011444092
communicate round 145  accuracy: 0.8332017064094543
communicate round 146  accuracy: 0.7218003869056702
communicate round 147  accuracy: 0.7720999717712402
communicate round 148  accuracy: 0.7346003651618958
communicate round 149  accuracy: 0.7054999470710754
communicate round 150  accuracy: 0.8090007901191711
communicate round 151  accuracy: 0.735200047492981
communicate round 152  accuracy: 0.8595013618469238
communicate round 153  accuracy: 0.7877009510993958
communicate round 154  accuracy: 0.7545002102851868
communicate round 155  accuracy: 0.7036997079849243
communicate round 156  accuracy: 0.7833004593849182
communicate round 157  accuracy: 0.7447001934051514
communicate round 158  accuracy: 0.7058999538421631
communicate round 159  accuracy: 0.751100480556488
communicate round 160  accuracy: 0.6652998924255371
communicate round 161  accuracy: 0.7498001456260681
communicate round 162  accuracy: 0.7750006914138794
communicate round 163  accuracy: 0.7754004001617432
communicate round 164  accuracy: 0.7776001691818237
communicate round 165  accuracy: 0.7827005982398987
communicate round 166  accuracy: 0.6609000563621521
communicate round 167  accuracy: 0.6946001648902893
communicate round 168  accuracy: 0.7234994769096375
