communicate round 1  accuracy: 0.1027994304895401
communicate round 2  accuracy: 0.09739947319030762
communicate round 3  accuracy: 0.10959945619106293
communicate round 4  accuracy: 0.3188992738723755
communicate round 5  accuracy: 0.397799551486969
communicate round 6  accuracy: 0.39179953932762146
communicate round 7  accuracy: 0.6387003660202026
communicate round 8  accuracy: 0.5993000268936157
communicate round 9  accuracy: 0.6649006605148315
communicate round 10  accuracy: 0.7561001777648926
communicate round 11  accuracy: 0.7187003493309021
communicate round 12  accuracy: 0.688000500202179
communicate round 13  accuracy: 0.7248996496200562
communicate round 14  accuracy: 0.7467002272605896
communicate round 15  accuracy: 0.7580001354217529
communicate round 16  accuracy: 0.7925002574920654
communicate round 17  accuracy: 0.8897011876106262
communicate round 18  accuracy: 0.8531015515327454
communicate round 19  accuracy: 0.881401538848877
communicate round 20  accuracy: 0.8731011748313904
communicate round 21  accuracy: 0.8237011432647705
communicate round 22  accuracy: 0.8546012043952942
communicate round 23  accuracy: 0.890101432800293
communicate round 24  accuracy: 0.7635006904602051
communicate round 25  accuracy: 0.8882017731666565
communicate round 26  accuracy: 0.8368013501167297
communicate round 27  accuracy: 0.8295010328292847
communicate round 28  accuracy: 0.8255007863044739
communicate round 29  accuracy: 0.8380006551742554
communicate round 30  accuracy: 0.8728011250495911
communicate round 31  accuracy: 0.8549020886421204
communicate round 32  accuracy: 0.8909014463424683
communicate round 33  accuracy: 0.913301408290863
communicate round 34  accuracy: 0.8935023546218872
communicate round 35  accuracy: 0.8575019240379333
communicate round 36  accuracy: 0.9021016359329224
communicate round 37  accuracy: 0.891202449798584
communicate round 38  accuracy: 0.8654015064239502
communicate round 39  accuracy: 0.8713013529777527
communicate round 40  accuracy: 0.8410009741783142
communicate round 41  accuracy: 0.8820013403892517
communicate round 42  accuracy: 0.9195017218589783
communicate round 43  accuracy: 0.9243014454841614
communicate round 44  accuracy: 0.8990023136138916
communicate round 45  accuracy: 0.9154015183448792
communicate round 46  accuracy: 0.9161015748977661
communicate round 47  accuracy: 0.836500883102417
communicate round 48  accuracy: 0.8331009745597839
communicate round 49  accuracy: 0.9078016877174377
communicate round 50  accuracy: 0.8974015116691589
communicate round 51  accuracy: 0.9156022071838379
communicate round 52  accuracy: 0.8529009222984314
communicate round 53  accuracy: 0.897902250289917
communicate round 54  accuracy: 0.8579019904136658
communicate round 55  accuracy: 0.9314019083976746
communicate round 56  accuracy: 0.8870012760162354
communicate round 57  accuracy: 0.9027018547058105
communicate round 58  accuracy: 0.8946018218994141
communicate round 59  accuracy: 0.9289021492004395
communicate round 60  accuracy: 0.9185018539428711
communicate round 61  accuracy: 0.9341017603874207
communicate round 62  accuracy: 0.9097018241882324
communicate round 63  accuracy: 0.9030013680458069
communicate round 64  accuracy: 0.9003018140792847
communicate round 65  accuracy: 0.9050014019012451
communicate round 66  accuracy: 0.7877011299133301
communicate round 67  accuracy: 0.9142018556594849
communicate round 68  accuracy: 0.9188011288642883
communicate round 69  accuracy: 0.9223015904426575
communicate round 70  accuracy: 0.8997018933296204
communicate round 71  accuracy: 0.8705011606216431
communicate round 72  accuracy: 0.9090016484260559
communicate round 73  accuracy: 0.8967013359069824
communicate round 74  accuracy: 0.8851013779640198
communicate round 75  accuracy: 0.899901807308197
communicate round 76  accuracy: 0.9254013895988464
communicate round 77  accuracy: 0.9294009804725647
communicate round 78  accuracy: 0.8930016756057739
communicate round 79  accuracy: 0.9286018013954163
communicate round 80  accuracy: 0.9488015174865723
communicate round 81  accuracy: 0.9225015044212341
communicate round 82  accuracy: 0.922501266002655
communicate round 83  accuracy: 0.9362015724182129
communicate round 84  accuracy: 0.94380122423172
communicate round 85  accuracy: 0.9224016666412354
communicate round 86  accuracy: 0.9307018518447876
communicate round 87  accuracy: 0.9239016771316528
communicate round 88  accuracy: 0.9440016150474548
communicate round 89  accuracy: 0.8757020235061646
communicate round 90  accuracy: 0.9417015314102173
communicate round 91  accuracy: 0.9223020076751709
communicate round 92  accuracy: 0.9320016503334045
communicate round 93  accuracy: 0.9370017647743225
communicate round 94  accuracy: 0.9283020496368408
communicate round 95  accuracy: 0.9263020157814026
communicate round 96  accuracy: 0.9359015822410583
communicate round 97  accuracy: 0.936101496219635
communicate round 98  accuracy: 0.904701828956604
communicate round 99  accuracy: 0.8818012475967407
communicate round 100  accuracy: 0.933501660823822
communicate round 101  accuracy: 0.8686017990112305
communicate round 102  accuracy: 0.8555020093917847
communicate round 103  accuracy: 0.9406015872955322
communicate round 104  accuracy: 0.8757016062736511
communicate round 105  accuracy: 0.9121019244194031
communicate round 106  accuracy: 0.8928014039993286
communicate round 107  accuracy: 0.9099012613296509
communicate round 108  accuracy: 0.9259020090103149
communicate round 109  accuracy: 0.9213017225265503
communicate round 110  accuracy: 0.9302018880844116
communicate round 111  accuracy: 0.9032019376754761
communicate round 112  accuracy: 0.9420018196105957
communicate round 113  accuracy: 0.906201958656311
communicate round 114  accuracy: 0.9442013502120972
communicate round 115  accuracy: 0.9112020134925842
communicate round 116  accuracy: 0.9159011244773865
communicate round 117  accuracy: 0.914202094078064
communicate round 118  accuracy: 0.9218013286590576
communicate round 119  accuracy: 0.882201075553894
communicate round 120  accuracy: 0.9350014328956604
communicate round 121  accuracy: 0.9035018086433411
communicate round 122  accuracy: 0.9191012978553772
communicate round 123  accuracy: 0.9302011728286743
communicate round 124  accuracy: 0.8811012506484985
communicate round 125  accuracy: 0.9294015765190125
communicate round 126  accuracy: 0.911601722240448
communicate round 127  accuracy: 0.8988012075424194
communicate round 128  accuracy: 0.8966013193130493
communicate round 129  accuracy: 0.8618013858795166
communicate round 130  accuracy: 0.9102017879486084
communicate round 131  accuracy: 0.937701404094696
