communicate round 147  accuracy: 0.9250011444091797
communicate round 148  accuracy: 0.846901535987854
communicate round 149  accuracy: 0.9007015824317932
communicate round 150  accuracy: 0.8912020325660706
communicate round 151  accuracy: 0.8842014074325562
communicate round 152  accuracy: 0.9098010063171387
communicate round 153  accuracy: 0.9133010506629944
communicate round 154  accuracy: 0.738900363445282
communicate round 155  accuracy: 0.9048013091087341
communicate round 156  accuracy: 0.8566014766693115
communicate round 157  accuracy: 0.9115009307861328
communicate round 158  accuracy: 0.8646020293235779
communicate round 159  accuracy: 0.7452008724212646
communicate round 160  accuracy: 0.7996996641159058
communicate round 161  accuracy: 0.9263017773628235
communicate round 162  accuracy: 0.8305017948150635
communicate round 163  accuracy: 0.8563011884689331
communicate round 164  accuracy: 0.920201301574707
communicate round 165  accuracy: 0.8669023513793945
communicate round 166  accuracy: 0.8498011827468872
communicate round 167  accuracy: 0.8779017925262451
communicate round 168  accuracy: 0.9231019616127014
communicate round 169  accuracy: 0.9132017493247986
communicate round 170  accuracy: 0.9096014499664307
communicate round 171  accuracy: 0.8141007423400879
communicate round 172  accuracy: 0.8536021113395691
communicate round 173  accuracy: 0.8742010593414307
communicate round 174  accuracy: 0.8956010341644287
communicate round 175  accuracy: 0.9395015239715576
communicate round 176  accuracy: 0.9079010486602783
communicate round 177  accuracy: 0.8136014938354492
communicate round 178  accuracy: 0.8581017255783081
communicate round 179  accuracy: 0.8917017579078674
communicate round 180  accuracy: 0.8460015058517456
communicate round 181  accuracy: 0.8267010450363159
communicate round 182  accuracy: 0.8732022047042847
communicate round 183  accuracy: 0.8354021310806274
communicate round 184  accuracy: 0.8536005616188049
communicate round 185  accuracy: 0.7303004860877991
communicate round 186  accuracy: 0.8531016111373901
communicate round 187  accuracy: 0.8357012867927551
communicate round 188  accuracy: 0.8835020661354065
communicate round 189  accuracy: 0.6064999103546143
communicate round 190  accuracy: 0.8505003452301025
communicate round 191  accuracy: 0.9153018593788147
communicate round 192  accuracy: 0.8745018839836121
communicate round 193  accuracy: 0.8644010424613953
communicate round 194  accuracy: 0.9057018756866455
communicate round 195  accuracy: 0.8128000497817993
communicate round 196  accuracy: 0.9142016172409058
communicate round 197  accuracy: 0.8969017863273621
communicate round 198  accuracy: 0.7899001240730286
communicate round 199  accuracy: 0.7853003144264221
communicate round 200  accuracy: 0.8025009036064148
