communicate round 1  accuracy: 0.7486001253128052
communicate round 2  accuracy: 0.8945000171661377
communicate round 3  accuracy: 0.9190998077392578
communicate round 4  accuracy: 0.931600034236908
communicate round 5  accuracy: 0.943099856376648
communicate round 6  accuracy: 0.9488000273704529
communicate round 7  accuracy: 0.9538000822067261
communicate round 8  accuracy: 0.9572000503540039
communicate round 9  accuracy: 0.9599000215530396
communicate round 10  accuracy: 0.9643000364303589
communicate round 11  accuracy: 0.9668000340461731
communicate round 12  accuracy: 0.9702001810073853
communicate round 13  accuracy: 0.9707999229431152
communicate round 14  accuracy: 0.97409987449646
communicate round 15  accuracy: 0.97489994764328
communicate round 16  accuracy: 0.9752998352050781
communicate round 17  accuracy: 0.9768999218940735
communicate round 18  accuracy: 0.9770998954772949
communicate round 19  accuracy: 0.9783998727798462
communicate round 20  accuracy: 0.9790999293327332
communicate round 21  accuracy: 0.9788001179695129
communicate round 22  accuracy: 0.9799999594688416
communicate round 23  accuracy: 0.979699969291687
communicate round 24  accuracy: 0.9808000922203064
communicate round 25  accuracy: 0.9806000590324402
communicate round 26  accuracy: 0.9811000823974609
communicate round 27  accuracy: 0.9816001057624817
communicate round 28  accuracy: 0.9822000861167908
communicate round 29  accuracy: 0.9827999472618103
communicate round 30  accuracy: 0.9822000861167908
communicate round 31  accuracy: 0.982499897480011
communicate round 32  accuracy: 0.9831000566482544
communicate round 33  accuracy: 0.9832001328468323
communicate round 34  accuracy: 0.983500063419342
communicate round 35  accuracy: 0.9836000800132751
communicate round 36  accuracy: 0.9833999276161194
communicate round 37  accuracy: 0.9850999712944031
communicate round 38  accuracy: 0.9839999675750732
communicate round 39  accuracy: 0.9840999245643616
communicate round 40  accuracy: 0.9841998815536499
communicate round 41  accuracy: 0.9840999245643616
communicate round 42  accuracy: 0.9845000505447388
communicate round 43  accuracy: 0.9846999645233154
communicate round 44  accuracy: 0.9851998686790466
communicate round 45  accuracy: 0.985499918460846
communicate round 46  accuracy: 0.9853999018669128
communicate round 47  accuracy: 0.9850999116897583
communicate round 48  accuracy: 0.9856997728347778
communicate round 49  accuracy: 0.9859998226165771
communicate round 50  accuracy: 0.9859998226165771
communicate round 51  accuracy: 0.9860998392105103
communicate round 52  accuracy: 0.985899806022644
communicate round 53  accuracy: 0.9865998029708862
communicate round 54  accuracy: 0.9862998723983765
communicate round 55  accuracy: 0.9858999252319336
communicate round 56  accuracy: 0.9857998490333557
communicate round 57  accuracy: 0.9865998029708862
communicate round 58  accuracy: 0.9866998195648193
communicate round 59  accuracy: 0.9869998693466187
communicate round 60  accuracy: 0.986599862575531
communicate round 61  accuracy: 0.9863998293876648
communicate round 62  accuracy: 0.9872998595237732
communicate round 63  accuracy: 0.9867998361587524
communicate round 64  accuracy: 0.9864997863769531
