communicate round 102  accuracy: 0.9804006814956665
communicate round 103  accuracy: 0.9797007441520691
communicate round 104  accuracy: 0.9828005433082581
communicate round 105  accuracy: 0.9847003817558289
communicate round 106  accuracy: 0.9878004193305969
communicate round 107  accuracy: 0.9773006439208984
communicate round 108  accuracy: 0.9714006781578064
communicate round 109  accuracy: 0.9803006052970886
communicate round 110  accuracy: 0.9865005016326904
communicate round 111  accuracy: 0.9719009399414062
communicate round 112  accuracy: 0.9866005182266235
communicate round 113  accuracy: 0.9779009222984314
communicate round 114  accuracy: 0.9879001975059509
communicate round 115  accuracy: 0.980900764465332
communicate round 116  accuracy: 0.9845004677772522
communicate round 117  accuracy: 0.9828003644943237
communicate round 118  accuracy: 0.9805007576942444
communicate round 119  accuracy: 0.9657010436058044
communicate round 131  accuracy: 0.9884001612663269
communicate round 132  accuracy: 0.9846006035804749
communicate round 133  accuracy: 0.9890003800392151
communicate round 134  accuracy: 0.9810004830360413
communicate round 135  accuracy: 0.9874005317687988
communicate round 136  accuracy: 0.9833004474639893
communicate round 101  accuracy: 0.984500527381897
communicate round 102  accuracy: 0.9804006814956665
communicate round 103  accuracy: 0.9797007441520691
communicate round 104  accuracy: 0.9828005433082581
communicate round 105  accuracy: 0.9847003817558289
communicate round 135  accuracy: 0.9874005317687988
communicate round 136  accuracy: 0.9833004474639893
communicate round 101  accuracy: 0.984500527381897
communicate round 102  accuracy: 0.9804006814956665
communicate round 103  accuracy: 0.9797007441520691
communicate round 129  accuracy: 0.9861003160476685
communicate round 130  accuracy: 0.9858005046844482
communicate round 131  accuracy: 0.9884001612663269
communicate round 132  accuracy: 0.9846006035804749
communicate round 133  accuracy: 0.9890003800392151
communicate round 134  accuracy: 0.9810004830360413
communicate round 135  accuracy: 0.9874005317687988
communicate round 136  accuracy: 0.9833004474639893
communicate round 101  accuracy: 0.984500527381897
communicate round 102  accuracy: 0.9804006814956665
communicate round 103  accuracy: 0.9797007441520691
communicate round 128  accuracy: 0.9856004118919373
communicate round 129  accuracy: 0.9861003160476685
communicate round 130  accuracy: 0.9858005046844482
communicate round 131  accuracy: 0.9884001612663269
communicate round 132  accuracy: 0.9846006035804749
communicate round 133  accuracy: 0.9890003800392151
communicate round 134  accuracy: 0.9810004830360413
communicate round 135  accuracy: 0.9874005317687988
communicate round 136  accuracy: 0.9833004474639893
