communicate round 1  accuracy: 0.10169941931962967
communicate round 2  accuracy: 0.4383997619152069
communicate round 3  accuracy: 0.7050996422767639
communicate round 4  accuracy: 0.6637002229690552
communicate round 5  accuracy: 0.775500476360321
communicate round 6  accuracy: 0.9318013787269592
communicate round 7  accuracy: 0.9231013059616089
communicate round 8  accuracy: 0.901601254940033
communicate round 9  accuracy: 0.9074020981788635
communicate round 10  accuracy: 0.943601131439209
communicate round 11  accuracy: 0.9512007236480713
communicate round 12  accuracy: 0.9568006992340088
communicate round 13  accuracy: 0.9564008712768555
communicate round 14  accuracy: 0.9494012594223022
communicate round 15  accuracy: 0.9580010175704956
communicate round 16  accuracy: 0.9648008346557617
communicate round 17  accuracy: 0.9603012204170227
communicate round 18  accuracy: 0.9667007327079773
communicate round 19  accuracy: 0.9653010368347168
communicate round 20  accuracy: 0.9676010012626648
communicate round 21  accuracy: 0.9703009128570557
communicate round 22  accuracy: 0.9645007848739624
communicate round 23  accuracy: 0.9677006602287292
communicate round 24  accuracy: 0.9701007008552551
communicate round 25  accuracy: 0.9728009104728699
communicate round 26  accuracy: 0.9722006320953369
communicate round 27  accuracy: 0.973100483417511
communicate round 28  accuracy: 0.9716005921363831
communicate round 29  accuracy: 0.9708006978034973
communicate round 30  accuracy: 0.9734005928039551
communicate round 31  accuracy: 0.9759005904197693
communicate round 32  accuracy: 0.9755005836486816
communicate round 33  accuracy: 0.9759005904197693
communicate round 34  accuracy: 0.9755006432533264
communicate round 35  accuracy: 0.9763006567955017
communicate round 36  accuracy: 0.9765005707740784
communicate round 37  accuracy: 0.9783008694648743
communicate round 38  accuracy: 0.9764007925987244
communicate round 39  accuracy: 0.9780007600784302
communicate round 40  accuracy: 0.977600634098053
communicate round 41  accuracy: 0.9785003662109375
communicate round 42  accuracy: 0.9795004725456238
communicate round 43  accuracy: 0.9777004718780518
communicate round 44  accuracy: 0.9786005020141602
communicate round 45  accuracy: 0.9801003336906433
communicate round 46  accuracy: 0.9801005125045776
communicate round 47  accuracy: 0.9802004098892212
communicate round 48  accuracy: 0.9792004823684692
communicate round 49  accuracy: 0.9800006151199341
communicate round 50  accuracy: 0.9799002408981323
communicate round 51  accuracy: 0.977200448513031
communicate round 52  accuracy: 0.9806004762649536
communicate round 53  accuracy: 0.9810003638267517
communicate round 54  accuracy: 0.981300413608551
communicate round 55  accuracy: 0.9814005494117737
communicate round 56  accuracy: 0.9808003902435303
communicate round 57  accuracy: 0.9808005094528198
communicate round 58  accuracy: 0.981700599193573
communicate round 59  accuracy: 0.9826003313064575
communicate round 60  accuracy: 0.9810003042221069
communicate round 61  accuracy: 0.9812005162239075
communicate round 62  accuracy: 0.9820005297660828
communicate round 63  accuracy: 0.9819004535675049
communicate round 64  accuracy: 0.9834004044532776
communicate round 65  accuracy: 0.9829005599021912
communicate round 66  accuracy: 0.9830003380775452
communicate round 67  accuracy: 0.9825003743171692
communicate round 68  accuracy: 0.9820005893707275
communicate round 69  accuracy: 0.9834003448486328
communicate round 70  accuracy: 0.9830003380775452
communicate round 71  accuracy: 0.9840004444122314
communicate round 72  accuracy: 0.9842004179954529
communicate round 73  accuracy: 0.9832004904747009
communicate round 74  accuracy: 0.9835003614425659
communicate round 75  accuracy: 0.9843003749847412
communicate round 76  accuracy: 0.9835004210472107
communicate round 77  accuracy: 0.9849004745483398
communicate round 78  accuracy: 0.98380047082901
communicate round 79  accuracy: 0.9838002324104309
