communicate round 1  accuracy: 0.4064989984035492
communicate round 2  accuracy: 0.43349960446357727
communicate round 3  accuracy: 0.5660008192062378
communicate round 4  accuracy: 0.5857000946998596
communicate round 5  accuracy: 0.5412000417709351
communicate round 6  accuracy: 0.5040998458862305
communicate round 7  accuracy: 0.6769000887870789
communicate round 8  accuracy: 0.6009006500244141
communicate round 9  accuracy: 0.541200578212738
communicate round 10  accuracy: 0.5994002223014832
communicate round 11  accuracy: 0.8149003982543945
communicate round 12  accuracy: 0.5441005229949951
communicate round 13  accuracy: 0.6218001842498779
communicate round 14  accuracy: 0.7529007196426392
communicate round 15  accuracy: 0.6528003215789795
communicate round 16  accuracy: 0.7222002744674683
communicate round 17  accuracy: 0.7484023809432983
communicate round 18  accuracy: 0.7792012095451355
communicate round 19  accuracy: 0.7314020037651062
communicate round 20  accuracy: 0.686000406742096
communicate round 21  accuracy: 0.7649998068809509
communicate round 22  accuracy: 0.7605998516082764
communicate round 23  accuracy: 0.8349018096923828
communicate round 24  accuracy: 0.8564017415046692
communicate round 25  accuracy: 0.7140004634857178
communicate round 26  accuracy: 0.8588014245033264
communicate round 27  accuracy: 0.9266015887260437
communicate round 28  accuracy: 0.9142014980316162
communicate round 29  accuracy: 0.9177013635635376
communicate round 30  accuracy: 0.8298008441925049
communicate round 31  accuracy: 0.8487008213996887
communicate round 32  accuracy: 0.8826020359992981
communicate round 33  accuracy: 0.8197008371353149
communicate round 34  accuracy: 0.9304018020629883
communicate round 35  accuracy: 0.9415013790130615
communicate round 36  accuracy: 0.9719009399414062
communicate round 37  accuracy: 0.9143015742301941
communicate round 38  accuracy: 0.8956016898155212
communicate round 39  accuracy: 0.9391013383865356
communicate round 40  accuracy: 0.9228018522262573
communicate round 41  accuracy: 0.8547007441520691
communicate round 42  accuracy: 0.8703014850616455
communicate round 43  accuracy: 0.9281023144721985
communicate round 44  accuracy: 0.9279021620750427
communicate round 45  accuracy: 0.9508010745048523
communicate round 46  accuracy: 0.9241019487380981
communicate round 47  accuracy: 0.9170019030570984
communicate round 48  accuracy: 0.9397012591362
communicate round 49  accuracy: 0.8110002875328064
communicate round 50  accuracy: 0.9322018623352051
communicate round 51  accuracy: 0.9546016454696655
communicate round 52  accuracy: 0.8849014043807983
communicate round 53  accuracy: 0.9099019765853882
communicate round 54  accuracy: 0.9407015442848206
communicate round 55  accuracy: 0.9328019022941589
communicate round 56  accuracy: 0.9622008204460144
communicate round 57  accuracy: 0.8128010630607605
communicate round 58  accuracy: 0.8536015152931213
communicate round 59  accuracy: 0.8835011124610901
communicate round 60  accuracy: 0.8709020018577576
communicate round 61  accuracy: 0.7410000562667847
communicate round 62  accuracy: 0.9003012180328369
communicate round 63  accuracy: 0.8789018988609314
communicate round 64  accuracy: 0.7673003077507019
communicate round 65  accuracy: 0.949800968170166
communicate round 66  accuracy: 0.969100832939148
communicate round 67  accuracy: 0.9647011160850525
communicate round 68  accuracy: 0.9484010934829712
communicate round 69  accuracy: 0.8966020941734314
communicate round 70  accuracy: 0.9116021990776062
communicate round 71  accuracy: 0.9483011960983276
communicate round 72  accuracy: 0.8812018036842346
communicate round 73  accuracy: 0.6778002977371216
communicate round 74  accuracy: 0.8049008846282959
communicate round 75  accuracy: 0.8414015173912048
communicate round 76  accuracy: 0.8675024509429932
communicate round 77  accuracy: 0.959200918674469
communicate round 78  accuracy: 0.9315012693405151
communicate round 79  accuracy: 0.8998017907142639
communicate round 80  accuracy: 0.9687008857727051
communicate round 81  accuracy: 0.9726006984710693
communicate round 82  accuracy: 0.7689000368118286
communicate round 83  accuracy: 0.9496018290519714
communicate round 84  accuracy: 0.9465014934539795
