communicate round 1  accuracy: 0.23479995131492615
communicate round 2  accuracy: 0.5468998551368713
communicate round 3  accuracy: 0.6567000150680542
communicate round 4  accuracy: 0.7474000453948975
communicate round 5  accuracy: 0.8315999507904053
communicate round 6  accuracy: 0.7951998710632324
communicate round 7  accuracy: 0.8040001392364502
communicate round 8  accuracy: 0.828999936580658
communicate round 9  accuracy: 0.834600031375885
communicate round 10  accuracy: 0.8774997591972351
communicate round 11  accuracy: 0.8891000747680664
communicate round 12  accuracy: 0.871100127696991
communicate round 13  accuracy: 0.8924999833106995
communicate round 14  accuracy: 0.8944000005722046
communicate round 15  accuracy: 0.9008999466896057
communicate round 16  accuracy: 0.9116998910903931
communicate round 17  accuracy: 0.91100013256073
communicate round 18  accuracy: 0.9210999011993408
communicate round 19  accuracy: 0.9190999269485474
communicate round 20  accuracy: 0.9223999381065369
communicate round 21  accuracy: 0.9244998097419739
communicate round 22  accuracy: 0.9275998473167419
communicate round 23  accuracy: 0.931699812412262
communicate round 24  accuracy: 0.9385998845100403
communicate round 25  accuracy: 0.9355000853538513
communicate round 26  accuracy: 0.9352998733520508
communicate round 27  accuracy: 0.9373002648353577
communicate round 28  accuracy: 0.9408000707626343
communicate round 29  accuracy: 0.9404997825622559
communicate round 30  accuracy: 0.9425000548362732
communicate round 31  accuracy: 0.9432001113891602
communicate round 32  accuracy: 0.9428001046180725
communicate round 33  accuracy: 0.9486001133918762
communicate round 34  accuracy: 0.9496999382972717
communicate round 35  accuracy: 0.9508000016212463
communicate round 36  accuracy: 0.9528000354766846
communicate round 37  accuracy: 0.9521003365516663
communicate round 38  accuracy: 0.9546999931335449
communicate round 39  accuracy: 0.9560999274253845
communicate round 40  accuracy: 0.9590999484062195
communicate round 41  accuracy: 0.9577999711036682
communicate round 42  accuracy: 0.9588999152183533
communicate round 43  accuracy: 0.9590000510215759
communicate round 44  accuracy: 0.9594001770019531
communicate round 45  accuracy: 0.9580001831054688
communicate round 46  accuracy: 0.9586999416351318
communicate round 47  accuracy: 0.9595999717712402
communicate round 48  accuracy: 0.9576998949050903
communicate round 49  accuracy: 0.9601998925209045
communicate round 50  accuracy: 0.9630999565124512
communicate round 51  accuracy: 0.9641000032424927
communicate round 52  accuracy: 0.9618001580238342
communicate round 53  accuracy: 0.9638000130653381
communicate round 54  accuracy: 0.9665999412536621
communicate round 55  accuracy: 0.9658999443054199
communicate round 56  accuracy: 0.966999888420105
